Actual,Predicted,Error,Error_%
0.885,0.8770577,-0.007942328453063974,0.8974382432840649
0.931,0.9295765,-0.001423483848571827,0.15289837256410602
1.214,1.2392378,0.0252377853393555,2.0788950032418043
0.91,0.9091027,-0.0008973217010498358,0.09860678033514678
0.38,0.37924263,-0.0007573711872100874,0.19930820716054934
0.675,0.66971534,-0.005284655094146773,0.7829118657995219
0.954,0.94964695,-0.004353050231933553,0.45629457357794057
0.647,0.6504645,0.0034644751548766894,0.5354675664415285
1.157,1.1603899,0.003389900207519503,0.2929905105894125
1.018,1.0183291,0.0003291435241699059,0.032332369761287415
0.587,0.5892867,0.002286684989929233,0.38955451276477565
1.07,1.0671453,-0.0028546524047852184,0.2667899443724503
0.834,0.8345824,0.0005823884010315306,0.0698307435289605
0.214,0.18130009,-0.032699911236762996,15.280332353627568
1.147,1.149485,0.0024849920272826953,0.21665144091392285
1.081,1.0772841,-0.003715902328491172,0.3437467463914128
0.626,0.6162913,-0.009708715438842774,1.550913009399804
1.113,1.1204247,0.007424747467041026,0.6670932135706223
0.838,0.830884,-0.007116020202636686,0.8491670886201296
0.359,0.35561982,-0.0033801820278167583,0.9415548824002112
1.02,1.0275259,0.007525901794433576,0.7378335092581938
1.04,1.0389034,-0.0010966444015503285,0.10544657707214695
1.024,1.0218312,-0.0021688451766967987,0.21180128678679674
1.179,1.1777745,-0.0012254514694214347,0.1039399041069919
1.038,1.0345887,-0.0034113054275513033,0.32864214138259185
0.672,0.66393596,-0.008064040660858196,1.2000060507229457
0.914,0.9110715,-0.0029285206794739116,0.32040707652887435
0.885,0.8784372,-0.006562778949737558,0.7415569434731704
0.874,0.87380165,-0.00019835138320922763,0.022694666271078676
1.102,1.0908122,-0.011187793731689544,1.0152262914418821
0.943,0.94547933,0.002479333400726369,0.26291976677904233
1.072,1.0744847,0.002484705924987729,0.23178226912198963
1.018,1.0174803,-0.0005197458267212074,0.051055582192652986
0.79,0.7822673,-0.007732727527618444,0.9788262693187904
0.686,0.6779982,-0.008001814842224175,1.1664453122775764
0.937,0.93164456,-0.005355441093444879,0.5715518776355261
0.138,0.14333269,0.005332690000534046,3.8642681163290185
0.933,0.9312843,-0.0017156915664673367,0.18388977132554518
0.631,0.62483066,-0.00616933679580689,0.9777078915700301
0.148,0.13470104,-0.013298956632614128,8.985781508523061
0.061,0.09440033,0.033400331377983095,54.754641603250974
1.078,1.0797534,0.0017533988952636026,0.1626529587443045
1.114,1.1119567,-0.0020432844161988317,0.18341870881497588
0.157,0.1454041,-0.01159589958190918,7.385923300579096
0.98,0.9818171,0.0018171262741089045,0.18542104837845963
1.17,1.1646471,-0.005352897644042898,0.4575126191489656
0.642,0.63434577,-0.007654230117797867,1.1922476818999792
1.032,1.0314505,-0.0005494899749756144,0.053245152613916116
0.642,0.6494612,0.007461209774017319,1.1621822077908597
0.273,0.23876251,-0.03423748719692232,12.541204101436747
0.996,0.9970374,0.001037410736083988,0.1041577044261032
0.767,0.77077836,0.003778357982635483,0.49261512159523896
0.75,0.7524488,0.0024487972259521484,0.32650629679361975
1.063,1.0599287,-0.0030713443756102965,0.28893173806305705
1.027,1.0296156,0.002615640640258876,0.2546875014857718
1.136,1.1384443,0.00244430446624766,0.21516764667673066
1.039,1.0391202,0.00012019729614265451,0.011568555932883015
0.687,0.6779707,-0.009029292583465631,1.314307508510281
0.902,0.9008965,-0.0011035103797912837,0.12234039687264786
0.929,0.93037045,0.0013704500198363778,0.1475188395948738
0.481,0.4859497,0.004949695110321062,1.0290426424783914
0.39,0.38834837,-0.001651629209518446,0.42349466910729383
0.895,0.8956078,0.0006078290939330877,0.06791386524392042
0.843,0.83894557,-0.004054432392120333,0.4809528341779754
0.755,0.7492981,-0.0057019042968750044,0.7552191121688747
1.151,1.1500016,-0.0009983549118042223,0.08673804620366832
0.902,0.9078866,0.005886624336242652,0.6526191060135977
1.13,1.1279895,-0.0020104694366454012,0.17791764926065498
1.167,1.1618407,-0.005159322738647498,0.4421013486416023
1.156,1.1504471,-0.005552869796752846,0.4803520585426338
0.655,0.65181947,-0.0031805324554443626,0.4855774741136431
1.025,1.0224764,-0.0025235652923583096,0.2462014919373961
0.942,0.9414364,-0.0005635900497436008,0.05982909232946931
0.735,0.7366787,0.001678719520568861,0.22839721368283825
0.96,0.95991063,-8.936882019039416e-05,0.00930925210316606
1.097,1.0985968,0.001596811294555689,0.14556164945813027
0.974,0.9740388,3.877973556520864e-05,0.003981492357824296
1.116,1.1134344,-0.002565566062927349,0.22988943216194882
0.917,0.91100216,-0.0059978408813476936,0.6540720699397703
1.135,1.1368338,0.001833786964416495,0.16156713342876608
1.114,1.1074308,-0.006569184303283793,0.5896933844958521
0.588,0.5797352,-0.00826478052139279,1.405574918604216
1.168,1.1696494,0.001649362564086987,0.14121254829511876
1.008,1.007299,-0.0007010536193847727,0.06954897017706078
0.971,0.9753831,0.0043831028938293715,0.45140091594535237
0.195,0.18090461,-0.014095388054847724,7.228404130691141
0.756,0.7490583,-0.006941693782806402,0.9182134633341801
0.914,0.9165874,0.0025874123573302876,0.28308669117399204
0.87,0.8679783,-0.002021725177764888,0.23238220434079176
0.577,0.5642665,-0.012733497142791705,2.2068452587160667
1.008,1.0113322,0.0033321542739868093,0.3305708605145644
0.83,0.8340513,0.004051311016082804,0.4881097609738318
1.078,1.0819649,0.0039648504257201456,0.3677968855027964
0.955,0.9528913,-0.0021087098121642667,0.22080731017426877
0.885,0.8842148,-0.0007851815223693936,0.08872107597394278
0.796,0.78791803,-0.008081968784332316,1.0153227115995371
1.025,1.0312383,0.006238317489624112,0.6086163404511329
1.1,1.0923402,-0.007659769058227628,0.6963426416570571
1.021,1.0208813,-0.00011870479583730997,0.011626326722557295
1.007,1.0027132,-0.004286796569824114,0.42569975867170945
1.043,1.0428892,-0.00011076259613029826,0.010619616119875193
0.867,0.8636145,-0.003385500431060784,0.3904844787844042
0.819,0.82522523,0.006225234031677296,0.7601018353696332
